iter	Passed	Remaining
0	209	209361
1	210	105102
2	211	70308
3	212	52916
4	213	42479
5	214	35524
6	215	30559
7	216	26839
8	217	23946
9	218	21630
10	219	19733
11	220	18149
12	221	16809
13	222	15668
14	223	14673
15	224	13805
16	225	13034
17	226	12345
18	227	11733
19	228	11181
20	229	10681
21	230	10226
22	230	9810
23	231	9431
24	232	9082
25	233	8756
26	234	8457
27	235	8187
28	236	7926
29	237	7685
30	238	7461
31	239	7247
32	240	7050
33	241	6859
34	242	6682
35	243	6512
36	244	6357
37	245	6206
38	246	6062
39	246	5926
40	247	5798
41	248	5675
42	249	5558
43	250	5447
44	251	5341
45	252	5238
46	253	5138
47	254	5043
48	255	4953
49	256	4867
50	257	4784
51	258	4703
52	258	4626
53	259	4551
54	260	4478
55	261	4407
56	262	4339
57	263	4274
58	264	4211
59	264	4149
60	265	4091
61	266	4034
62	267	3978
63	268	3924
64	269	3872
65	270	3822
66	270	3772
67	271	3719
68	272	3672
69	273	3627
70	274	3585
71	274	3544
72	275	3503
73	276	3463
74	277	3425
75	278	3387
76	279	3351
77	280	3315
78	281	3280
79	282	3245
80	283	3211
81	284	3180
82	284	3148
83	285	3116
84	286	3082
85	287	3052
86	287	3019
87	288	2990
88	289	2962
89	290	2934
90	291	2907
91	291	2881
92	292	2857
93	293	2832
94	294	2807
95	295	2783
96	296	2759
97	297	2735
98	298	2713
99	298	2690
100	299	2668
101	300	2643
102	301	2622
103	301	2601
104	302	2581
105	303	2561
106	304	2542
107	305	2523
108	306	2504
109	307	2487
110	308	2468
111	309	2451
112	309	2433
113	310	2416
114	311	2398
115	312	2380
116	313	2363
117	314	2347
118	314	2330
119	315	2314
120	316	2298
121	317	2283
122	317	2265
123	318	2251
124	319	2238
125	320	2224
126	321	2211
127	322	2195
128	323	2181
129	323	2168
130	324	2155
131	325	2142
132	326	2129
133	327	2116
134	328	2103
135	329	2091
136	330	2078
137	330	2065
138	331	2053
139	332	2041
140	333	2030
141	334	2020
142	335	2010
143	336	1999
144	337	1989
145	338	1979
146	339	1968
147	340	1957
148	340	1946
149	341	1936
150	342	1926
151	343	1916
152	344	1905
153	345	1895
154	345	1885
155	346	1875
156	347	1866
157	348	1857
158	349	1849
159	350	1839
160	351	1831
161	352	1822
162	353	1813
163	354	1804
164	354	1795
165	355	1787
166	356	1778
167	357	1770
168	358	1761
169	359	1752
170	359	1744
171	360	1736
172	361	1728
173	362	1720
174	363	1713
175	364	1706
176	365	1699
177	366	1693
178	367	1686
179	368	1680
180	369	1671
181	370	1664
182	371	1657
183	372	1649
184	372	1642
185	373	1636
186	374	1629
187	375	1621
188	376	1614
189	377	1607
190	378	1601
191	379	1594
192	379	1588
193	380	1581
194	381	1574
195	382	1568
196	383	1562
197	384	1555
198	384	1549
199	385	1543
200	386	1536
201	387	1530
202	388	1524
203	389	1518
204	389	1511
205	390	1506
206	391	1500
207	392	1495
208	393	1490
209	394	1485
210	395	1480
211	396	1474
212	397	1469
213	398	1464
214	399	1458
215	400	1453
216	401	1447
217	402	1442
218	402	1437
219	403	1431
220	404	1426
221	405	1421
222	406	1416
223	407	1410
224	408	1405
225	408	1400
226	409	1395
227	410	1390
228	411	1385
229	412	1380
230	413	1375
231	414	1370
232	414	1365
233	415	1361
234	416	1356
235	417	1351
236	418	1347
237	419	1342
238	420	1338
239	421	1333
240	422	1330
241	423	1327
242	425	1325
243	426	1321
244	427	1316
245	428	1313
246	429	1309
247	430	1305
248	431	1301
249	432	1296
250	433	1292
251	434	1288
252	434	1284
253	436	1280
254	436	1276
255	438	1273
256	439	1270
257	440	1266
258	441	1262
259	442	1258
260	443	1254
261	444	1250
262	444	1246
263	445	1242
264	446	1238
265	447	1235
266	448	1230
267	449	1226
268	449	1222
269	450	1218
270	451	1214
271	452	1211
272	453	1207
273	454	1203
274	455	1200
275	456	1196
276	457	1192
277	457	1189
278	458	1185
279	459	1181
280	460	1178
281	461	1174
282	462	1170
283	463	1167
284	463	1163
285	464	1160
286	465	1156
287	466	1152
288	467	1149
289	468	1146
290	469	1142
291	469	1139
292	470	1135
293	471	1132
294	472	1128
295	473	1125
296	474	1122
297	475	1119
298	475	1115
299	476	1112
300	477	1108
301	478	1105
302	479	1102
303	479	1098
304	480	1095
305	481	1092
306	482	1089
307	483	1086
308	484	1082
309	485	1079
310	485	1076
311	486	1073
312	487	1070
313	488	1067
314	489	1064
315	490	1061
316	491	1058
317	492	1055
318	493	1052
319	493	1049
320	494	1046
321	495	1043
322	496	1040
323	497	1037
324	498	1034
325	498	1031
326	499	1028
327	500	1025
328	501	1022
329	502	1020
330	503	1017
331	504	1014
332	504	1011
333	505	1008
334	506	1005
335	507	1002
336	508	1000
337	509	997
338	510	994
339	510	991
340	511	989
341	512	986
342	513	983
343	514	980
344	515	977
345	515	975
346	516	972
347	517	969
348	518	967
349	519	964
350	520	961
351	520	958
352	521	956
353	522	953
354	523	951
355	524	948
356	525	945
357	525	943
358	526	940
359	527	938
360	528	935
361	529	932
362	530	930
363	530	927
364	531	925
365	532	922
366	533	919
367	534	917
368	535	914
369	535	912
370	536	910
371	537	907
372	538	905
373	539	902
374	540	900
375	541	898
376	541	895
377	542	893
378	543	890
379	544	888
380	545	885
381	546	883
382	546	881
383	547	878
384	548	876
385	549	874
386	550	871
387	551	869
388	551	866
389	552	864
390	553	862
391	554	859
392	555	857
393	556	855
394	556	853
395	557	850
396	558	848
397	559	846
398	560	843
399	561	841
400	561	839
401	562	837
402	563	835
403	564	832
404	565	830
405	566	828
406	566	826
407	567	823
408	568	821
409	569	819
410	570	817
411	571	815
412	572	813
413	572	811
414	573	808
415	574	806
416	575	804
417	576	802
418	577	800
419	578	798
420	578	796
421	579	793
422	580	791
423	581	789
424	582	787
425	583	785
426	583	783
427	584	781
428	585	779
429	586	777
430	587	775
431	587	773
432	588	771
433	589	769
434	590	767
435	591	765
436	592	762
437	593	760
438	593	759
439	594	756
440	595	755
441	596	752
442	597	750
443	598	749
444	598	747
445	599	745
446	600	743
447	601	741
448	602	739
449	603	737
450	604	735
451	604	733
452	605	731
453	606	729
454	607	727
455	608	725
456	609	723
457	610	721
458	610	720
459	611	718
460	612	716
461	613	714
462	614	712
463	615	710
464	616	708
465	616	706
466	617	705
467	618	703
468	619	701
469	620	699
470	621	697
471	621	695
472	622	693
473	623	692
474	624	690
475	625	688
476	626	686
477	626	684
478	627	682
479	628	681
480	629	679
481	630	677
482	631	675
483	632	673
484	632	672
485	633	670
486	634	668
487	635	666
488	636	664
489	637	663
490	638	661
491	638	659
492	639	657
493	640	656
494	641	654
495	642	652
496	643	650
