iter	Passed	Remaining
0	273	273420
1	274	137073
2	275	91700
3	278	69281
4	279	55648
5	280	46471
6	281	39917
7	282	34995
8	283	31169
9	283	28109
10	284	25604
11	285	23518
12	286	21754
13	287	20249
14	288	18961
15	290	17850
16	291	16846
17	292	15947
18	293	15139
19	294	14427
20	295	13767
21	296	13165
22	297	12619
23	297	12117
24	298	11651
25	299	11225
26	300	10828
27	301	10458
28	302	10114
29	303	9798
30	304	9511
31	305	9235
32	306	8973
33	307	8725
34	307	8491
35	308	8270
36	309	8059
37	310	7860
38	311	7672
39	312	7493
40	313	7323
41	314	7164
42	315	7012
43	315	6864
44	316	6723
45	317	6587
46	318	6457
47	319	6343
48	320	6225
49	321	6111
50	322	6001
51	323	5895
52	324	5793
53	325	5696
54	326	5605
55	327	5513
56	327	5424
57	328	5339
58	329	5257
59	330	5176
60	331	5098
61	332	5024
62	332	4951
63	333	4882
64	334	4816
65	335	4751
66	336	4686
67	337	4624
68	338	4564
69	339	4506
70	340	4450
71	340	4393
72	341	4338
73	342	4286
74	343	4235
75	344	4185
76	345	4137
77	345	4089
78	346	4043
79	347	3998
80	348	3955
81	349	3913
82	350	3868
83	351	3828
84	351	3789
85	352	3749
86	353	3710
87	354	3673
88	355	3637
89	356	3601
90	357	3566
91	357	3532
92	358	3498
93	359	3465
94	360	3433
95	361	3401
96	362	3371
97	363	3342
98	364	3316
99	379	3411
100	380	3384
101	381	3355
102	382	3327
103	382	3299
104	383	3272
105	384	3246
106	385	3220
107	387	3196
108	388	3172
109	389	3147
110	389	3122
111	390	3096
112	391	3072
113	392	3047
114	392	3024
115	393	3002
116	394	2980
117	396	2961
118	397	2939
119	397	2917
120	398	2896
121	399	2874
122	400	2853
123	401	2833
124	401	2813
125	402	2793
126	403	2773
127	404	2753
128	405	2735
129	406	2717
130	406	2698
131	407	2681
132	408	2664
133	410	2650
134	411	2633
135	412	2618
136	413	2602
137	414	2586
138	414	2570
139	415	2554
140	416	2539
141	417	2522
142	418	2507
143	419	2492
144	420	2478
145	421	2463
146	422	2449
147	422	2435
148	424	2425
149	425	2411
150	426	2398
151	427	2384
152	428	2370
153	429	2357
154	430	2344
155	431	2334
156	432	2321
157	433	2308
158	434	2295
159	434	2283
160	435	2269
161	436	2256
162	437	2244
163	437	2232
164	439	2222
165	440	2211
166	441	2200
167	442	2189
168	442	2177
169	443	2166
170	444	2154
171	445	2143
172	446	2132
173	447	2122
174	447	2111
175	448	2100
176	449	2090
177	450	2080
178	451	2070
179	452	2061
180	454	2056
181	455	2048
182	456	2038
183	457	2029
184	458	2019
185	459	2009
186	460	2000
187	460	1990
188	461	1981
189	462	1971
190	463	1962
191	464	1953
192	465	1944
193	465	1935
194	466	1926
195	467	1917
196	468	1909
197	469	1901
198	470	1893
199	471	1884
200	472	1876
201	472	1868
202	473	1860
203	474	1852
204	475	1844
205	476	1836
206	477	1828
207	478	1820
208	478	1812
209	479	1805
210	480	1797
211	481	1789
212	482	1782
213	484	1777
214	485	1771
215	486	1764
216	486	1757
217	487	1749
218	488	1742
219	489	1735
220	490	1728
221	491	1721
222	491	1714
223	492	1707
224	493	1700
225	494	1693
226	495	1686
227	496	1679
228	496	1672
229	497	1666
230	499	1661
231	499	1654
232	500	1648
233	501	1641
234	502	1635
235	503	1629
236	504	1623
237	505	1616
238	505	1610
239	506	1604
240	507	1599
241	508	1593
242	509	1587
243	510	1581
244	511	1574
245	511	1569
246	512	1563
247	513	1557
248	514	1552
249	515	1546
250	516	1540
251	517	1535
252	518	1529
253	519	1524
254	520	1519
255	521	1514
256	521	1508
257	522	1503
258	523	1498
259	524	1492
260	525	1487
261	526	1481
262	526	1476
263	527	1471
264	528	1467
265	529	1462
266	530	1457
267	531	1452
268	532	1446
269	533	1441
270	534	1437
271	535	1432
272	535	1427
273	536	1422
274	537	1417
275	538	1412
276	539	1407
277	540	1403
278	541	1398
279	541	1393
280	543	1390
281	544	1386
282	545	1381
283	546	1376
284	546	1371
285	547	1367
286	548	1363
287	549	1359
288	550	1355
289	551	1350
290	552	1346
291	553	1341
292	554	1337
293	554	1332
294	555	1328
295	556	1324
296	557	1320
297	558	1316
298	559	1312
299	560	1308
300	561	1303
301	562	1299
302	563	1295
303	563	1291
304	564	1287
305	565	1283
306	566	1278
307	567	1275
308	568	1271
309	569	1267
310	570	1262
311	570	1258
312	571	1255
313	572	1251
314	573	1247
315	574	1244
316	575	1240
317	576	1236
318	577	1232
319	578	1228
320	579	1225
321	580	1222
322	581	1218
323	582	1215
324	583	1211
325	584	1208
326	585	1204
327	586	1200
328	587	1197
329	588	1195
330	589	1191
331	590	1187
332	591	1184
333	592	1180
334	593	1177
335	594	1174
336	595	1170
337	595	1167
338	596	1163
339	597	1160
340	599	1157
341	600	1154
342	601	1152
343	602	1149
344	603	1146
345	604	1142
346	605	1139
347	606	1136
348	608	1134
349	609	1131
350	610	1128
351	611	1125
352	612	1121
353	612	1118
354	613	1114
355	614	1111
356	616	1109
357	618	1109
358	619	1106
359	620	1103
360	621	1100
361	622	1096
362	623	1093
363	624	1090
364	625	1087
365	626	1084
366	627	1081
367	628	1078
368	629	1075
369	631	1075
370	633	1073
371	634	1071
372	636	1069
373	637	1066
374	638	1063
375	639	1060
376	640	1058
377	641	1055
378	642	1052
379	643	1050
380	644	1047
381	645	1044
382	647	1042
383	649	1041
384	650	1038
385	651	1036
386	652	1033
387	653	1030
388	654	1027
389	655	1024
390	655	1021
391	656	1018
392	657	1015
393	658	1012
394	659	1009
395	661	1008
396	663	1008
397	665	1005
398	666	1003
399	668	1002
400	669	999
401	670	996
402	671	994
403	672	991
404	673	989
405	674	987
406	676	986
407	677	983
408	679	981
409	680	978
410	681	976
411	682	973
412	682	970
413	683	968
414	684	965
415	685	962
416	686	959
417	687	957
418	689	956
419	692	956
420	694	954
421	695	952
422	696	949
423	697	947
424	698	944
425	698	941
426	699	939
427	700	936
428	701	933
429	702	930
430	703	928
431	704	925
432	705	924
433	706	922
434	707	919
435	708	916
436	709	914
437	710	911
438	711	908
439	712	906
440	713	904
441	714	901
442	715	899
443	716	896
444	716	894
445	718	892
446	720	891
447	721	889
448	722	886
449	723	884
450	724	881
451	725	879
452	726	876
453	727	874
454	728	872
455	728	869
456	730	867
457	731	865
458	734	865
459	738	866
460	739	864
461	740	862
462	743	862
463	745	860
464	746	858
465	750	860
466	752	858
467	753	856
468	754	853
469	755	851
470	756	849
471	757	847
472	758	845
473	759	842
474	760	840
475	761	838
476	768	842
477	770	841
478	772	840
479	773	838
480	774	836
481	776	834
482	777	831
483	779	831
484	781	830
485	782	827
486	783	825
487	784	823
488	785	821
489	786	819
490	787	816
491	788	814
492	790	813
493	791	811
494	795	811
495	797	810
496	798	808
497	799	806
498	800	804
499	802	802
500	803	799
501	804	797
502	805	795
503	806	793
504	810	794
505	812	793
506	813	791
507	814	788
508	815	786
509	816	784
510	817	782
511	818	780
512	819	777
513	820	775
514	821	773
515	822	771
516	826	771
517	827	769
518	828	767
519	829	765
520	830	763
521	830	760
522	831	758
523	832	756
524	833	754
525	834	751
526	835	749
527	836	747
528	837	745
529	837	743
530	840	741
531	840	739
532	841	737
533	842	735
534	845	734
535	845	732
536	846	730
537	847	728
538	848	725
539	849	723
540	850	721
541	851	719
542	854	719
543	856	717
544	857	715
545	858	713
546	858	711
547	860	709
548	861	707
549	862	705
550	863	703
551	864	701
552	865	699
553	866	697
554	867	695
555	870	695
556	872	693
557	873	691
558	874	689
559	876	688
560	877	686
561	878	684
562	879	682
563	880	680
564	881	678
565	882	676
566	885	676
567	886	674
568	887	672
569	889	670
570	890	668
571	891	666
572	892	665
573	893	663
574	894	661
575	895	659
576	896	657
577	897	654
578	898	653
579	899	651
580	900	649
581	901	647
582	901	645
583	902	643
584	903	641
585	904	638
586	905	636
587	906	634
588	906	632
589	907	630
590	908	628
591	909	626
592	910	624
593	911	622
594	911	620
595	913	619
596	914	617
597	915	615
598	916	613
599	917	611
600	918	609
601	919	607
602	920	605
603	921	603
604	921	601
605	922	600
606	923	598
607	924	596
608	925	594
609	926	592
610	927	590
611	928	588
612	929	586
613	930	584
614	930	582
615	931	580
616	932	578
617	933	576
618	934	574
619	934	573
620	935	571
621	936	569
622	937	567
623	938	565
624	939	563
625	940	561
626	940	559
627	941	557
628	942	556
629	943	554
630	944	552
631	945	550
632	946	548
633	947	546
634	948	544
635	948	543
636	949	541
637	950	539
